No.,Article Number,Article Title,Keyword,Client,Campaign Name,Editor,Copywriter,Article Type,Number of Words,Keyword Match in Content,Submit Date,Cost
108,H-104-6706-186015,"Huntington Beach, CA Vacation Deals","Huntington Beach, CA  Vacation Deals",HomeAway,HomeAway: Vacation Deals Guide March'13,,alananelson[1]      2      1,HomeAway Content,550,1,2013-03-25 13:16:27,27.5
109,H-104-6706-186004,Honolulu Vacation Deals,"Honolulu  Vacation Deals",HomeAway,HomeAway: Vacation Deals Guide March'13,,,HomeAway Content,550,6,2013-03-28 12:24:24,27.5
110,H-104-6706-185995,Waikiki Vacation Deals,"Waikiki  Vacation Deals",HomeAway,HomeAway: Vacation Deals Guide March'13,,,HomeAway Content,550,8,2013-03-26 02:19:34,27.5
111,H-104-6706-185981,Las Vegas Vacation Deals,"Las Vegas  Vacation Deals",HomeAway,HomeAway: Vacation Deals Guide March'13,,,HomeAway Content,550,1,2013-03-29 17:53:55,27.5
112,BAB-104-6675-183970,San Diego Marathon Travel Guide,"San Diego Marathon Travel Guide ",Bed and Breakfast,Bed and Breakfast: Marathon Travel Guides,,daniellebowser[1]      13      0,HomeAway Content,600,2,2013-03-21 02:04:31,30
113,C-14-6638-183412,What Your Landing Page and a First Date Have In Common,What Your Landing Page and a First Date Have In Common,ConversionVoodoo,CV March '13 SB,CBerghoefer      0,natashamier[1]      2      2,SHAREBAIT,500,1,2013-04-01 16:39:31,30
114,CC-100-6594-183056,Top 7 Family Friendly Vacation Spots in Springtime,"Top # Family Friendly Vacation Spots in Springtime",Connection Content,TLA: Expedia.com Feb.'13,HarveyGEditor      31,,Connection ShareBait,500,1,2013-02-23 00:12:31,30
115,C-14-6358-181288,Top Cruise Destinations,Top Cruise Destinations,CopyPress,Infographics,,mandirogier[1]      18      5,SHAREBAIT,500,1,2013-02-08 15:11:50,30
116,M-84-6476-179610,Baby Swimwear,"baby swimwear",Macy's,Macy's: Week of Dec. 27th-Jan.7th,,alananelson[1]      2      1,Macy's Copy,500,1,2013-01-08 15:55:20,0
117,HM-100-6459-179491,Best Vacations to go on During the Holiday Season,Best Vacations to go on During the Holiday Season,HUA Marketing,Celebrity Cruises Dec.'12 (Jessica),,,Connection ShareBait,500,1,2012-12-19 09:57:05,30
118,HM-100-6459-179490,"Best Time of the Year to Go on a Cruise, Cheaply","Best Time of the year to go on a cruise, cheaply",HUA Marketing,Celebrity Cruises Dec.'12 (Jessica),,,Connection ShareBait,500,2,2012-12-19 10:12:14,30
119,HM-100-6375-178516,Cruiser's Guide to Footwear: 8 Shoes to Avoid on Deck,"Cruiser\'s Guide to Footwear: # Shoes to Avoid on Deck",HUA Marketing,Hua Marketing: Celebrity Cruises SB 500 Nov.'12,,andreabuginsky[1]      0      0,Connection ShareBait,500,1,2012-11-17 13:08:16,30
120,HM-100-6375-178508,"4 Tropical Drinks Cruisers Dream of After Returning Home, &amp; How to Re-Create Them","# Tropical Drinks Cruisers Dream of After Returning Home, &amp;amp; How to Re-Create Them",HUA Marketing,Hua Marketing: Celebrity Cruises SB 500 Nov.'12,,mattthompson[1]      14      7,Connection ShareBait,500,5,2012-11-18 17:28:12,30
121,HA-104-6372-178448,Port Douglas Events,Port Douglas Events,HomeAway Australia,HomeAway AUS: Event Guides Nov.'12,,,HomeAway Content,500,1,2012-11-25 00:55:51,25
122,C-14-6358-178349,5 of the Hottest Entertainment Systems Blueprinted,Home Entertainment System,CopyPress,Infographics,rperillieditor      18,,SHAREBAIT,500,1,2012-11-19 20:34:02,30
123,HA-104-6313-177464,Hawaii Family Holidays,"hawaii family holidays",HomeAway Australia,HomeAway AUS: Public Holidays Oct. '12,,,HomeAway Content,500,2,2012-10-30 18:53:34,25
124,H-104-6277-176310,Kauai for Families on a Budget,Kauai for Families on a Budget,HomeAway,HomeAway: Offsite Content Oct.'12,,,HomeAway Content,800,1,2012-10-28 22:12:47,40
125,H-104-6276-176298,Hawaii Vacations in January,"Hawaii Vacations in January",HomeAway,HomeAway: Kiley's Event Guides October '12,,,HomeAway Content,600,1,2012-10-23 15:02:05,30
126,H-26-6217-174570,Surfing Vacation in Hawaii,Surfing Vacation in Hawaii,HomeAway,HomeAway: Offsite Content August '12,,,NEWS POST,800,1,2012-08-24 09:07:42,40
127,H-26-6217-174561,Top 7 Luxury Family Vacation Rentals,Top 7 Luxury Family Vacation Rentals,HomeAway,HomeAway: Offsite Content August '12,,,NEWS POST,800,1,2012-08-20 17:26:02,40
128,M-84-6186-172450,beach bedding sets,"beach bedding sets",Macy's,Macy's: Week of July 11th- July 20th,,sszczerbiak[1]      12      0,Macy's Copy,450,1,2012-07-19 23:37:24,0
129,M-84-6186-172076,Tommy Bahama Swimsuits,"tommy bahama swimsuits",Macy's,Macy's: Week of July 11th- July 20th,,,Macy's Copy,450,1,2012-07-18 10:02:08,0
130,HA-104-6185-171900,Newrybar Accommodation,"Newrybar",HomeAway Australia,HomeAway AUS: Keyword Search Copy July '12,,,HomeAway Content,550,1,2012-07-24 13:27:22,27.5
131,E-101-6164-168245,"The Descendants (Blu-ray Disc, 2012, 2-Disc Set)","The Descendants (Blu-ray Disc, 2012, 2-Disc Set)",eBay,eBay: PDPs 1.8 June '12,,carastromness[1]      7      1,Special: Description,250,1,2012-06-22 17:05:48,12.5
132,M-84-6152-167405,Clinique Happy Heart,"clinique happy heart",Macy's,Macy's: Week of June 8th- June 15th,,alananelson[1]      2      1,Macy's Copy,450,1,2012-06-12 16:37:10,0
133,M-84-6113-162327,Beach Shirts,"beach shirts",Macy's,Macy's Week of May 18th-May 25th,,,Macy's Copy,357,1,2012-05-21 22:27:23,0
134,M-84-6109-162010,Bathing Suit Coverups,"bathing suit coverups",Macy's,Macy's Week of May 11th-May 18th,,pamarts[1]      0      0,Macy's Copy,345,1,2012-05-15 13:54:36,0
135,H-101-6101-157527,International Hula Festival,"Invitational Hula Festival",HomeAway,HomeAway: Kiley's Article Maintenance May '12,,,Special: Description,248,2,2012-05-19 14:36:12,12.4
136,H-101-6101-157523,Honolulu Marathon,"Honolulu Marathon",HomeAway,HomeAway: Kiley's Article Maintenance May '12,,,Special: Description,557,1,2012-05-19 14:22:34,27.85
137,M-84-6097-157475,Tropical Dresses,"tropical dresses",Macy's,Macy's Week of May 4th-May 11th,,,Macy's Copy,375,1,2012-05-08 09:16:13,0
138,M-84-6001-148414,Tommy Hilfiger Bikini,"tommy hilfiger bikini",Macy's,Macy's: Week of March 16th- March 23rd,,jennmcknight[1]      5      0,Macy's Copy,334,1,2012-03-20 19:53:51,0
139,M-84-5999-148371,Party Shirts,"party shirts",Macy's,Macy's: Week of March 9th- March 16th,,erinrivera[1]      2      0,Macy's Copy,326,2,2012-03-06 20:02:00,0
140,HM-78-5988-148110,"Ka’anapali Beach, Maui","Ka’anapali Beach, Maui",HUA Marketing,HUA Marketing: When &amp; Where to Hit the Beach Web Copy Feb. '12,,kathyeckel[5]      5      0,Special Outreach,149,1,2012-02-29 20:36:47,0
141,M-84-5960-147009,Clinique Happy,"clinique happy",Macy's,Macy's: Week of Feb. 10th- Feb. 17th,,,Macy's Copy,336,2,2012-02-15 10:21:59,0
142,M-84-5949-146422,Calvin Klein Luggage,"calvin klein luggage",Macy's,Macy's: Week of Feb. 3rd- Feb. 10th,,,Macy's Copy,383,1,2012-02-07 16:35:13,0
143,M-84-5949-146313,polo t shirts for men,"polo t shirts for men",Macy's,Macy's: Week of Feb. 3rd- Feb. 10th,,,Macy's Copy,328,1,2012-02-07 16:54:03,0
144,M-84-5949-146312,polo ralph lauren shirts,"polo ralph lauren shirts",Macy's,Macy's: Week of Feb. 3rd- Feb. 10th,,,Macy's Copy,323,1,2012-02-07 18:22:14,0
145,M-84-5949-146097,Hawaiian Shirts,"hawaiian shirts",Macy's,Macy's: Week of Feb. 3rd- Feb. 10th,,,Macy's Copy,370,11,2012-02-04 22:26:49,0
146,M-84-5945-145918,Fashion Swimsuits,"fashion swimsuits",Macy's,Macy's: Week of January 27th- February 2nd,,,Macy's Copy,366,1,2012-01-31 10:21:44,0
147,M-84-5940-144919,tailored shirts,"tailored shirts",Macy's,Macy's: Week of January 20th-27th,,,Macy's Copy,379,1,2012-01-25 00:31:19,0
148,M-84-5940-144899,Levi's Vintage,"levis vintage",Macy's,Macy's: Week of January 20th-27th,,,Macy's Copy,320,1,2012-01-25 09:39:27,0
149,M-84-5940-144854,Swim Trunks,"swim trunks",Macy's,Macy's: Week of January 20th-27th,,jennmcknight[1]      5      0,Macy's Copy,365,1,2012-01-23 23:50:20,0
150,M-84-5940-144649,Boardshorts,"boardshorts",Macy's,Macy's: Week of January 20th-27th,,,Macy's Copy,312,1,2012-01-26 13:01:17,0
151,H-45-5939-144429,Vacation Rentals as Affordable Wedding Venues,"Vacation Rentals as Affordable Wedding Venues",HomeAway,HomeAway: Offsite Content Jan. '12,,,Blog : Extended,715,1,2012-02-07 12:49:19,0
152,H-45-5939-144428,Top 10 Craziest Vacation Rentals,"Top 10 Craziest Vacation Rentals",HomeAway,HomeAway: Offsite Content Jan. '12,,,Blog : Extended,727,1,2012-02-07 16:39:02,0
153,H-44-5937-144337,Maui's Wild Side: Haleakala Park,"Maui's Wild Side: Haleakala Park",HomeAway,Kiley's General Travel Jan. '12,,,Blog : Standard,503,1,2012-02-02 16:53:17,0
154,HM-78-5930-144304,Low-Priced Tickets to Oahu,"Low-Priced Tickets to Oahu",HUA Marketing,Hua Marketing: eBookers Outreach January '12,,,Special Outreach,431,1,2012-01-18 13:56:04,0
155,HM-78-5930-144291,Shopping While Vacationing in Honolulu,"Shopping while vacationing in Honolulu",HUA Marketing,Hua Marketing: eBookers Outreach January '12,,,Special Outreach,417,3,2012-01-18 15:13:32,0
156,M-84-5919-144245,surf shorts,"surf shorts",Macy's,Macy's: Week of January 13th-20th,,,Macy's Copy,324,1,2012-01-18 21:32:26,0
157,M-84-5919-144095,Green Bikini,"green bikini",Macy's,Macy's: Week of January 13th-20th,,,Macy's Copy,375,1,2012-01-17 21:23:46,0
158,M-84-5919-143854,Retro Swimwear,"retro swimwear",Macy's,Macy's: Week of January 13th-20th,,,Macy's Copy,336,1,2012-01-17 15:19:12,0
159,M-84-5919-143824,Designer Swimwear,"designer swimwear",Macy's,Macy's: Week of January 13th-20th,,jennmcknight[1]      5      0,Macy's Copy,331,1,2012-01-18 07:53:49,0
160,HM-78-5897-142670,Cruising Through Life,"cruises",HUA Marketing,Hua Marketing: eBookers Outreach December 11',,,Special Outreach,418,1,2011-12-21 18:37:20,0
161,H-2-5862-142045,Best Kailua-Kona Beaches,"Best Kailua-Kona Beaches",HomeAway,VR: Kiley's Things to Do December 11',,pamarts[1]      0      0,Type 2 - old,509,2,2011-12-21 04:05:21,20.36
162,H-2-5860-141994,Hula on Over to the Honolulu Festival,Honolulu Festival,HomeAway,VR: Kiley's Event Guides December 11',,,Type 2 - old,311,3,2011-12-20 15:37:53,12.44
163,HM-79-5844-141782,Party Like a Celebrity: 10 Hot Global Hangouts,Top 10 Hip-Hop Celebrity Hangouts,HUA Marketing,HUA: Ben's Linkbait Article Nov. 11',,,Special Linkbait,1341,1,2011-12-06 09:06:34,0
164,H-3-5822-140924,The Hukilau,"The Hukilau",HomeAway,VR: Laura's Events Guides November 11',,,Type 3 - old,602,1,2011-11-28 10:13:01,30.1
165,HH-31-5794-139420,"Lahaina, Hyatt Regency Maui Resort &amp; Spa, 106035, 4 stars","Hyatt Regency Maui Resort &amp; Spa",Hotel Hotline,Hotel Hotline: Short Descriptions (October/November 11'),,,Copy : Product,117,1,2011-11-08 14:23:36,0
166,HH-31-5794-139419,"Lahaina, Royal Lahaina Resort, 128599, 3.5 stars","Royal Lahaina Resort",Hotel Hotline,Hotel Hotline: Short Descriptions (October/November 11'),,,Copy : Product,115,2,2011-11-01 22:38:50,0
167,H-2-5785-138856,Best Festivals in March,"Best Festivals in March",HomeAway,VR: Laura's Lists October 11',,,Type 2 - old,604,1,2011-10-12 21:47:28,24.16
168,H-2-5785-138805,Best Family Vacations in December,"Best Family Vacations in December",HomeAway,VR: Laura's Lists October 11',,,Type 2 - old,599,1,2011-11-07 13:19:14,23.96
169,H-2-5785-138804,Best Family Vacations in November,Best Family Vacations in November,HomeAway,VR: Laura's Lists October 11',,,Type 2 - old,585,1,2011-11-09 10:46:34,23.4
170,H-2-5722-137124,Best Thanksgiving Destinations,"Best Thanksgiving Destinations",HomeAway,VR: Laura's Lists September 11',,,Type 2 - old,607,1,2011-09-26 17:50:07,24.28
171,H-2-5722-137113,Best Winter Beach Vacations,"Best Winter Beach Vacations",HomeAway,VR: Laura's Lists September 11',,,Type 2 - old,599,1,2011-09-24 20:04:17,23.96
172,M-84-5706-136885,Swimwear,Swimwear,Macy's,Macy's: Week of Sept. 9th-Sept.16th,,pamarts[1]      0      0,Macy's Copy,343,1,2011-09-14 01:46:55,0
173,H-1-5572-134655,Honolulu Marathon,"Honolulu Marathon",HomeAway,VR: Kiley's Event Guides August 11',,,Type 1 - old,501,1,2011-08-09 17:19:56,15.03
174,H-1-5572-134615,The Best of Maui at the Maui Fair,Maui Fair,HomeAway,VR: Kiley's Event Guides August 11',,,Type 1 - old,511,1,2011-08-23 02:48:28,15.33
175,H-1-5572-134614,Fun and Exciting Oahu Christmas Events,Oahu Christmas Events,HomeAway,VR: Kiley's Event Guides August 11',,,Type 1 - old,551,2,2011-08-23 04:37:01,16.53
176,H-1-5572-134613,Inside the Honolulu Marathon,"Honolulu Marathon",HomeAway,VR: Kiley's Event Guides August 11',,,Type 1 - old,568,2,2011-08-19 14:36:34,17.04
177,BS-80-5558-134266,Education: Hawaiian Value,"online education degrees",BlueGlass Search,July CC,,jessicabyard[1]      6      0,Special: Cocitation,271,1,2011-07-22 08:30:23,0
178,BS-80-5558-134085,Hawaii Travel Tips,"online college degree",BlueGlass Search,July CC,,,Special: Cocitation,263,1,2011-07-19 17:26:24,0
179,BS-76-5148-131005,Fall Fashion DON'TS,"emma-foundation.org",BlueGlass Search,July Resources,,,Special: Supplemental,257,1,2011-07-16 13:55:17,0
180,BS-76-5148-130966,The Right Home Décor Will Complement Your Home,"bhkf.org",BlueGlass Search,July Resources,,,Special: Supplemental,253,1,2011-07-18 03:08:22,0
181,H-1-5054-129498,Kohala Coast Travel Guide,"Kohala Coast Travel Guide",HomeAway,VR: Kiley's Travel Info July 11',,,Type 1 - old,902,2,2011-07-16 18:07:38,36.08
182,H-1-5054-129493,Poipu Travel and Vacation Rentals Info,"Poipu Travel and Vacation Rentals Info",HomeAway,VR: Kiley's Travel Info July 11',,,Type 1 - old,870,1,2011-07-17 18:28:35,34.8
183,H-1-5054-129490,Kohala Coast Travel and Vacation Rentals Info,"Kohala Coast Travel and Vacation Rentals Info",HomeAway,VR: Kiley's Travel Info July 11',,,Type 1 - old,854,2,2011-07-18 16:31:07,34.16
184,H-1-5054-129489,Kihei Travel and Vacation Rentals Info,"Kihei Travel and Vacation Rentals Info",HomeAway,VR: Kiley's Travel Info July 11',,,Type 1 - old,938,1,2011-07-18 17:13:32,37.52
185,H-1-5054-129488,Kailua-Kona Travel and Vacation Rentals Info,"Kailua-Kona Travel and Vacation Rentals Info",HomeAway,VR: Kiley's Travel Info July 11',,,Type 1 - old,884,5,2011-07-18 22:32:49,35.36
186,H-1-5053-129482,Best Poipu Restaurants,"Best Poipu Restaurants",HomeAway,VR: Kiley's Lists July 11',,kathyeckel[5]      5      0,Type 1 - old,504,2,2011-07-07 10:25:45,15.12
187,H-1-5053-129480,Best Big Island Restaurants,"Best Big Island Restaurants",HomeAway,VR: Kiley's Lists July 11',,jessicabyard[1]      6      0,Type 1 - old,577,2,2011-07-06 09:54:16,17.31
188,H-1-5053-129476,Best Beaches Near Poipu,"Best Beaches Near Poipu",HomeAway,VR: Kiley's Lists July 11',,kathyeckel[5]      5      0,Type 1 - old,508,4,2011-07-07 08:40:53,15.24
189,H-1-5053-129468,Best Golf Courses for Beginners in Hawaii,"Best Golf Courses for Beginners in Hawaii",HomeAway,VR: Kiley's Lists July 11',,,Type 1 - old,596,1,2011-06-27 11:47:01,17.88
190,H-1-5053-129463,Best Kapaa Kauai Restaurants,"Best Kapaa Kauai Restaurants",HomeAway,VR: Kiley's Lists July 11',,carastromness[1]      7      1,Type 1 - old,576,1,2011-07-06 21:43:42,17.28
191,H-1-5053-129460,Best Big Island Luaus,"Best Big Island Luaus",HomeAway,VR: Kiley's Lists July 11',,carastromness[1]      7      1,Type 1 - old,519,4,2011-07-07 18:27:45,15.57
192,H-1-5052-129459,Waikoloa Beach Resort Things to Do,Waikoloa Beach Resort Things to Do,HomeAway,VR: Kiley's Things to Do July 11',,,Type 1 - old,544,1,2011-07-06 12:47:42,16.32
193,H-1-5052-129450,Mauna Lani Things to Do,"Mauna Lani Things to Do",HomeAway,VR: Kiley's Things to Do July 11',,,Type 1 - old,555,2,2011-07-05 18:21:57,16.65
194,H-1-5052-129448,Keauhou Things to Do,"Keauhou Things to Do",HomeAway,VR: Kiley's Things to Do July 11',,,Type 1 - old,534,3,2011-07-07 13:17:58,16.02
195,H-1-5052-129439,Things to Do in and Around the Waikoloa Beach Resort,"Things to Do in and around the Waikoloa Beach Resort ",HomeAway,VR: Kiley's Things to Do July 11',,,Type 1 - old,511,2,2011-07-07 21:34:06,15.33
196,H-1-5052-129433,Things to Do in Poipu,"Things to Do in Poipu",HomeAway,VR: Kiley's Things to Do July 11',,saralegge[1]      0      0,Type 1 - old,599,2,2011-06-24 10:23:56,17.97
197,H-1-5052-129430,Things to Do in Mauna Lani,"Things to Do in Mauna Lani",HomeAway,VR: Kiley's Things to Do July 11',,saralegge[1]      0      0,Type 1 - old,612,1,2011-06-26 14:53:31,18.36
198,H-1-5052-129428,Things to Do on the Kohala Coast,"Things to Do on the Kohala Coast",HomeAway,VR: Kiley's Things to Do July 11',,,Type 1 - old,600,1,2011-07-06 19:02:14,18
199,H-1-5052-129427,Things to Do in Kihei,"Things to Do in Kihei",HomeAway,VR: Kiley's Things to Do July 11',,saralegge[1]      0      0,Type 1 - old,601,2,2011-06-27 10:25:27,18.03
200,H-1-5052-129426,Things to Do in Keauhou,"Things to Do in Keauhou",HomeAway,VR: Kiley's Things to Do July 11',,,Type 1 - old,599,2,2011-07-06 18:44:47,17.97
201,H-1-5052-129425,Things to Do in Kapaa (Kauai),"Things to Do in Kapaa (Kauai)",HomeAway,VR: Kiley's Things to Do July 11',,,Type 1 - old,510,3,2011-07-22 19:43:43,15.3
202,H-1-5052-129424,Things to Do in Kailua-Kona,"Things to Do in Kailua-Kona",HomeAway,VR: Kiley's Things to Do July 11',,saralegge[1]      0      0,Type 1 - old,600,3,2011-06-27 11:41:48,18
203,H-1-5040-129165,Best Body Surfing Beaches,"Best Body Surfing Beaches",HomeAway,VR: Laura's Lists July 11',,,Type 1 - old,555,2,2011-07-06 12:58:00,16.65
204,L-10-5010-127576,Kanani: The American Doll of 2011,American girl doll clothes,LinkQuest,June2011_Unique Doll Clothing Blogs June 2011,,,COPY,268,1,2011-06-13 12:54:08,8.04
205,H-2-4744-125063,Hawaii Travel and Vacation Rentals Info,"Hawaii Travel and Vacation Rentals Info",HomeAway,Travel Info June 11 Kiley,,,Type 2 - old,926,4,2011-06-14 13:42:48,37.04
206,HH-13-2565-122426,Waikiki Beach Marriott Resort &amp; Spa,Waikiki Beach Marriott Resort &amp; Spa - short (Rewrite),Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,118,1,2011-06-28 12:06:27,0
207,HH-13-2565-122425,The Outrigger Reef on the Beach,The Outrigger Reef on the Beach - short (Rewrite),Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,106,1,2011-06-29 12:00:54,0
208,HH-13-2565-122424,Sheraton Waikiki,Sheraton Waikiki - short (Rewrite),Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,109,1,2011-06-28 14:05:22,0
209,HH-13-2565-122422,The Outrigger Waikiki on the Beach,The Outrigger Waikiki on the Beach - short (Rewrite),Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,105,1,2011-06-29 10:48:11,0
210,HH-13-2565-122420,Hyatt Regency Waikiki Beach Resort &amp; Spa,Hyatt Regency Waikiki Beach Resort &amp; Spa - short (Rewrite),Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,109,1,2011-06-29 10:50:48,0
211,HH-13-2565-122417,Hawaii Prince Hotel Waikiki,Hawaii Prince Hotel Waikiki - short (Rewrite),Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,109,1,2011-06-29 11:00:16,0
212,HH-13-2565-122415,Maile Sky Court,Maile Sky Court - short (Rewrite),Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,107,1,2011-06-29 11:32:58,0
213,HH-13-2565-122404,Courtyard by Marriott Waikiki Beach,Courtyard by Marriott Waikiki Beach - short (Rewrite),Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,100,1,2011-05-17 16:57:22,0
214,BO-1-4691-122123,4 Ways to Prepare Your Puppy for Summer,"x Ways to Prepare Your Puppy for Summer",BlueGlass OPR,Buy Costumes May11,,,Type 1 - old,491,1,2011-05-06 07:40:17,14.73
215,BS-10-3793-120289,"Patterns, Perception and You",grafitti.org,BlueGlass Search,grafitti.org - A,,,COPY,279,3,2011-06-18 17:29:10,8.37
216,RDI-23-3076-118591,Cruising in Style – What to Pack for a Cruise,Cruising in Style – What to Pack for a Cruise,Red Door Interactive,Eagle Creek-April 11 Expert Columns,,,Expert Columns,747,2,2011-04-25 18:29:47,37.35
217,H-1-3002-118456,10 Best Lahaina Luau and Nightlife,"Best Lahaina Luau and Nightlife",HomeAway,Apr11 Best Lists Kiley,,,Type 1 - old,519,3,2011-05-07 13:46:45,15.57
218,H-1-3002-118454,5 Best Kapalua Beaches,"Best Kapalua Beaches",HomeAway,Apr11 Best Lists Kiley,,,Type 1 - old,579,1,2011-05-07 14:52:53,17.37
219,H-1-3002-118453,5 Best Kapalua Restaurants,"Best Kapalua Restaurants",HomeAway,Apr11 Best Lists Kiley,,,Type 1 - old,540,1,2011-05-07 15:11:01,16.2
220,H-1-3002-118452,6 Best Kaanapali Luau and Nightlife,"Best Kaanapali Luau and Nightlife",HomeAway,Apr11 Best Lists Kiley,,,Type 1 - old,527,1,2011-05-07 15:33:40,15.81
221,H-1-3002-118451,6 Best Restaurants in Kaanapali,"Best Restaurants in Kaanapali",HomeAway,Apr11 Best Lists Kiley,,,Type 1 - old,546,4,2011-05-07 15:55:54,16.38
222,H-1-3002-118448,10 Best Maui Beaches,"Best Maui Beaches",HomeAway,Apr11 Best Lists Kiley,,,Type 1 - old,508,1,2011-05-09 11:22:07,15.24
223,H-1-3002-118447,10 Best Golf Courses in Maui,"Best Golf Courses in Maui",HomeAway,Apr11 Best Lists Kiley,,,Type 1 - old,566,1,2011-05-09 11:44:21,16.98
224,H-1-3002-118445,5 Best Kauai Luaus and Nightlife,"Best Kauai Luaus and Nightlife",HomeAway,Apr11 Best Lists Kiley,,,Type 1 - old,538,4,2011-05-09 13:17:01,16.14
225,H-1-3002-118444,5 Best Kailua-Kona Vacation Adventures,"Best Kailua-Kona Vacation Adventures",HomeAway,Apr11 Best Lists Kiley,,,Type 1 - old,593,2,2011-05-09 13:36:49,17.79
226,H-1-3002-118442,5 Best Kona Coast Adventures,"Best Kona Coast Adventures",HomeAway,Apr11 Best Lists Kiley,,,Type 1 - old,547,2,2011-05-09 17:18:48,16.41
227,HH-13-2565-115132,Queen Kapiolani Hotel,Queen Kapiolani Hotel - long,Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,300,2,2011-03-25 13:32:50,0
228,HH-13-2565-115130,Waikiki Resort Hotel,"Waikiki Resort Hotel - long",Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,286,2,2011-03-24 13:01:18,0
229,HH-13-2565-115129,Courtyard by Marriot Waikiki Beach,"Courtyard by Marriott Waikiki Beach - long",Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,284,1,2011-03-24 13:37:12,0
230,HH-13-2565-115128,Aqua Waikiki Pearl,"Aqua Waikiki Pearl - long",Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,301,1,2011-03-25 13:59:04,0
231,HH-13-2565-115127,Waikiki Gateway Hotel,"Waikiki Gateway Hotel - long",Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,279,1,2011-03-25 15:09:38,0
232,HH-13-2565-115126,Holiday Inn Resort Waikiki Beachcomber,"Holiday Inn Resort Waikiki Beachcomber - long",Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,297,1,2011-03-25 17:43:57,0
233,HH-13-2565-115121,Waikiki Parc Hotel,"Waikiki Parc Hotel - long",Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,289,1,2011-03-28 11:07:12,0
234,HH-13-2565-115120,Aqua Waikiki Wave,"Aqua Waikiki Wave - long",Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,292,2,2011-03-28 11:17:28,0
235,HH-13-2565-115118,Embassy Suites Hotel - Waikiki Beach Walk,"Embassy Suites Hotel - Waikiki Beach Walk - long",Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,321,2,2011-03-28 12:14:10,0
236,HH-13-2565-115117,Hawaii Prince Hotel Waikiki,"Hawaii Prince Hotel Waikiki - long",Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,307,1,2011-03-28 13:11:44,0
237,HH-13-2565-115113,Sheraton Princess Kaiulani,"Sheraton Princess Kaiulani - long",Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,275,2,2011-03-28 14:23:52,0
238,HH-13-2565-115107,Queen Kapiolani Hotel,"Queen Kapiolani Hotel - short",Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,100,1,2011-03-24 12:06:04,0
239,HH-13-2565-115105,Waikiki Resort Hotel,"Waikiki Resort Hotel - short",Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,94,2,2011-03-29 11:47:36,0
240,HH-13-2565-115102,Waikiki Gateway Hotel,"Waikiki Gateway Hotel - short",Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,93,1,2011-03-30 12:49:11,0
241,HH-13-2565-115099,Ala Moana Hotel,"Ala Moana Hotel - short",Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,92,1,2011-03-30 12:45:28,0
242,HH-13-2565-115097,Castle Ocean Resort Hotel Waikiki,"Castle Ocean Resort Hotel Waikiki - short",Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,98,1,2011-03-30 12:44:32,0
243,HH-13-2565-115096,Waikiki Parc Hotel,"Waikiki Parc Hotel - short",Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,93,1,2011-04-14 14:15:50,0
244,HH-13-2565-115091,Trump International Hotel Waikiki Beach Walk,"Trump International Hotel Waikiki Beach Walk - short",Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,99,1,2011-04-14 14:04:49,0
245,HH-13-2565-115090,Hilton Waikiki Beach,"Hilton Waikiki Beach - short",Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,79,1,2011-03-29 13:14:18,0
246,HH-13-2565-115087,The Outrigger Waikiki on the Beach,"The Outrigger Waikiki on the Beach - short",Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,97,1,2011-03-30 12:42:53,0
247,HH-13-2565-115086,"Moana Surfrider, A Westin Resort &amp; Spa","Moana Surfrider, A Westin Resort &amp; Spa - short",Hotel Hotline,HO May (RW) – Honolulu,,,Description: Product Description,98,1,2011-04-14 14:03:11,0
