Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes,
,,,,,The Best Boutique Stays in Sedona,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Sedona-AZ_LAuberge-de-Sedona-509bff0266edc846610271be-Reviews,hipmunk.com/Independent-Hotels-in-Sedona-AZ_Enchantment-Resort-510af453a0a9943f37000000-Reviews,hipmunk.com/Independent-Hotels-in-Sedona-AZ_Cedars-Resort-5255324c7f2c6c15c3000135-Reviews,hipmunk.com/Independent-Hotels-in-Sedona-AZ_Baby-Quail-Inn-509bfe4566edc8466101eb2c-Reviews,hipmunk.com/Independent-Hotels-in-Sedona-AZ_Bell-Rock-Inn-509bfc7266edc8466100871c-Reviews,,,bauza,0.2,n/a
,,,,,Where to Stay in Palm Springs,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Palm-Springs-CA_Vagabond-Inn-Palm-Springs-509bfdd066edc8466101959c-Reviews,hipmunk.com/Independent-Hotels-in-Palm-Springs-CA_Garden-Vista-Hotel-5290946dc0852e4e750001c0-Reviews,hipmunk.com/Independent-Hotels-in-Palm-Springs-CA_Alcazar-Palm-Springs-509bfe2766edc8466101d5d3-Reviews,hipmunk.com/Independent-Hotels-in-Palm-Springs-CA_Andreas-Hotel-Spa-509c023f66edc84661050f8c-Reviews,hipmunk.com/Independent-Hotels-in-Palm-Springs-CA_Avanti-509c007d66edc8466103a4ab-Reviews,,,bauza,0.2,n/a
,,,,,St Louis's Top Boutique Stays,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Saint-Louis-MO_Moonrise-Hotel-509bfdfc66edc8466101b4c3-Reviews,hipmunk.com/Independent-Hotels-in-Saint-Louis-MO_Omni-Majestic-Hotel-509bfdc766edc8466101923e-Reviews,hipmunk.com/Independent-Hotels-in-Saint-Louis-MO_The-Parkway-Hotel-509bfd4e66edc8466101338e-Reviews,hipmunk.com/Independent-Hotels-in-Saint-Louis-MO_Drury-Inn-Union-Station-509bff0666edc8466102756b-Reviews,hipmunk.com/Independent-Hotels-in-Saint-Louis-MO_Grand-Center-Inn-509bff5066edc8466102a5a6-Reviews,,,simpson,0.15,n/a
,,,,,Great Independent Hotels Across Arizona,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Paradise-Valley-AZ_Sanctuary-on-Camelback-Mountain-Resort-and-Spa-51224560a0a994611c000080-Reviews,hipmunk.com/Independent-Hotels-in-Grand-Canyon-AZ_Red-Feather-Lodge-509c024b66edc846610518cc-Reviews,hipmunk.com/Independent-Hotels-in-Litchfield-Park-AZ_The-Wigwam-509c01b366edc84661049c08-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Wyndham-Flagstaff-5310aa0dc0852e2e420000a8-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Canyon-Inn-509bfbdb66edc84661000998-Reviews,,,simpson,0.15,n/a
,,,,,Where to Stay in NYC,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-New-York-City-NY_ink48-hotel-a-Kimpton-Hotel-509bfdce66edc84661019462-Reviews,hipmunk.com/Independent-Hotels-in-New-York-City-NY_Shelburne-NYC-an-Affinia-hotel-509bfdd166edc846610195ec-Reviews,hipmunk.com/Independent-Hotels-in-New-York-City-NY_Club-Quarters-Midtown-Times-Square-509bfefe66edc84661026e46-Reviews,hipmunk.com/Independent-Hotels-in-New-York-City-NY_Dumont-NYC-an-Affinia-hotel-54b528ecc0852e19f700003a-Reviews,hipmunk.com/Independent-Hotels-in-New-York-City-NY_Best-Western-Plus-Robert-Treat-Hotel-545e25fdc0852e01d700005d-Reviews,,,hassall,0.14,n/a
,,,,,Brooklyn's Best Boutique Stays,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Brooklyn-NY_Lxure-Brooklyn-Suites-509c006266edc84661038c9b-Reviews,hipmunk.com/Independent-Hotels-in-Brooklyn-NY_The-Box-House-Hotel-509bfbfd66edc8466100264e-Reviews,hipmunk.com/Independent-Hotels-in-Brooklyn-NY_Lefferts-Manor-Bed-Breakfast-509bfecc66edc84661024838-Reviews,hipmunk.com/Independent-Hotels-in-Brooklyn-NY_Brooklyn-Motor-Inn-509bfe2b66edc8466101d929-Reviews,hipmunk.com/Independent-Hotels-in-Brooklyn-NY_Condor-Hotel-509bfecd66edc846610248c9-Reviews,,,hassall,0.14,n/a
,,,,,Where to Stay in Monterey,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-monterey-ca_mariposa-inn-suites-509bfe1566edc8466101c6fd-reviews,hipmunk.com/independent-hotels-in-monterey-ca_bay-park-hotel-509bff2466edc84661028bf3-reviews,hipmunk.com/independent-hotels-in-monterey-ca_casa-munras-garden-hotel-spa-509bfefb66edc84661026be1-reviews,hipmunk.com/independent-hotels-in-monterey-ca_colton-inn-509bfea966edc8466102316b-reviews,hipmunk.com/independent-hotels-in-monterey-ca_el-castell-motel-509bff2c66edc84661029274-reviews,,,gulegmi,0.12,n/a
,,,,,Laguna Beach's Top Boutique Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Laguna-Beach-CA_Laguna-Beach-House-509bfd3566edc84661011f64-Reviews,hipmunk.com/Independent-Hotels-in-Laguna-Beach-CA_Hotel-Laguna-509bff2966edc846610290c9-Reviews,hipmunk.com/Independent-Hotels-in-Laguna-Beach-CA_Inn-at-Laguna-Beach-509bfc9e66edc8466100a812-Reviews,hipmunk.com/Independent-Hotels-in-Laguna-Beach-CA_Pacific-Edge-Hotel-on-Laguna-Beach-a-Joie-de-Vivre-Hotel-509bfe8066edc846610213ea-Reviews,hipmunk.com/Independent-Hotels-in-Laguna-Beach-CA_Surf-And-Sand-Resort-509bfe8366edc846610215c8-Reviews,,,gulegmi,0.12,n/a
,,,,,Carmel's Top Boutique Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Carmel-CA_Carmel-Village-Inn-509bfdcf66edc846610194ab-Reviews,hipmunk.com/Independent-Hotels-in-Carmel-CA_Carmel-Valley-Ranch-50edd8b6bb290e795c0000d0-Reviews,hipmunk.com/Independent-Hotels-in-Carmel-CA_Carmel-Mission-Inn-509bfdc566edc84661019199-Reviews,hipmunk.com/Independent-Hotels-in-Carmel-CA_Carmel-Wayfarer-Inn-509bfe5666edc8466101f7b5-Reviews,hipmunk.com/Independent-Hotels-in-Carmel-CA_Quail-Lodge-Golf-Club-509c01f266edc8466104d14f-Reviews,,,caulin,0.2,n/a
,,,,,The Best Places to Stay in Marina Del Rey,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Marina-Del-Rey-CA_Foghorn-Harbor-Inn-509bfe0b66edc8466101c05f-Reviews,hipmunk.com/Independent-Hotels-in-Marina-Del-Rey-CA_Hotel-MdR-Marina-del-Rey-a-DoubleTree-by-Hilton-509bfdf966edc8466101b2fc-Reviews,hipmunk.com/Independent-Hotels-in-Marina-Del-Rey-CA_Jamaica-Bay-Inn-509bfe7366edc84661020a33-Reviews,hipmunk.com/Independent-Hotels-in-Marina-Del-Rey-CA_The-Inn-at-Marina-Del-Rey-509c023f66edc84661050f65-Reviews,hipmunk.com/Independent-Hotels-in-Marina-Del-Rey-CA_The-Inn-at-Venice-Beach-509c01f166edc8466104d0b9-Reviews,,,caulin,0.2,n/a
,,,,,Albuqerque's Top Boutique Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Albuquerque-NM_Hotel-Albuquerque-at-Old-Town-509bfe3266edc8466101dd9f-Reviews,hipmunk.com/Independent-Hotels-in-Albuquerque-NM_Hotel-Andaluz-509bfd7166edc84661014f74-Reviews,hipmunk.com/Independent-Hotels-in-Albuquerque-NM_Hotel-Blue-Albuquerque-Downtown-509bfe4b66edc8466101f0c7-Reviews,hipmunk.com/Independent-Hotels-in-Albuquerque-NM_Hotel-Parq-Central-509bff1d66edc84661028685-Reviews,n/a,,,gallop,0.15,n/a
,,,,,The Best Casino Hotels in Laughlin,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Laughlin-NV_Colorado-Belle-Hotel-Casino-Resort-50ed0c12bb290e6196000006-Reviews,hipmunk.com/Independent-Hotels-in-Laughlin-NV_Edgewater-Hotel-Casino-50ed0c12bb290e6196000000-Reviews,hipmunk.com/Independent-Hotels-in-Laughlin-NV_Riverside-Resort-Hotel-Casino-509bfcae66edc8466100b57b-Reviews,hipmunk.com/Independent-Hotels-in-Laughlin-NV_Harrahs-Laughlin-Hotel-Casino-509bfec266edc84661024129-Reviews,hipmunk.com/Independent-Hotels-in-Laughlin-NV_Avi-Resort-Casino-509bfebd66edc84661023e37-Reviews,,,gallop,0.15,n/a
,,,,,Great Hotels Across Hawaii,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Kahuku-HI_Turtle-Bay-509bfdc066edc84661018dfc-Reviews,hipmunk.com/Independent-Hotels-in-Kamuela-HI_Mauna-Lani-Bay-Hotel-and-Bungalows-510ad71ba0a9940c0b00001a-Reviews,hipmunk.com/Independent-Hotels-in-Kapaa-HI_Hale-Lani-Bed-Breakfast-509bff2966edc84661029069-Reviews,hipmunk.com/Independent-Hotels-in-Kapaa-HI_Aston-Aloha-Beach-Hotel-5121fb35a0a99406b8000090-Reviews,hipmunk.com/Independent-Hotels-in-Kapolei-HI_Ihilani-Resort-Spa-509c01a866edc846610491de-Reviews,,,buckley,0.2,n/a
,,,,,Where to Stay in Coronado,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Coronado-CA_La-Avenida-Inn-509bfd3666edc84661011f86-Reviews,hipmunk.com/Independent-Hotels-in-Coronado-CA_Hotel-del-Coronado-509bfe2d66edc8466101d9c8-Reviews,hipmunk.com/Independent-Hotels-in-Coronado-CA_Loews-Coronado-Bay-Resort-509bfdd266edc84661019718-Reviews,hipmunk.com/Independent-Hotels-in-Coronado-CA_1906-Lodge-Coronado-Beach-509bfe6766edc846610204c3-Reviews,hipmunk.com/Independent-Hotels-in-Coronado-CA_Coronado-Beach-Resort-509bfd8c66edc84661016419-Reviews,,,buckley,0.2,n/a
,,,,,Salt Lake City's Top Boutique Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Salt-Lake-City-UT_Hotel-Monaco-Salt-Lake-City-a-Kimpton-Hotel-509bfd2e66edc846610118fb-Reviews,hipmunk.com/Independent-Hotels-in-Salt-Lake-City-UT_Royal-Garden-Inn-509bfdc866edc846610192f4-Reviews,hipmunk.com/Independent-Hotels-in-Salt-Lake-City-UT_Hyatt-Place-Salt-Lake-CityDowntownThe-Gateway-509bfee766edc84661025ced-Reviews,hipmunk.com/Independent-Hotels-in-Salt-Lake-City-UT_Anniversary-Inn-5th-South-509bfef766edc8466102682c-Reviews,hipmunk.com/Independent-Hotels-in-Salt-Lake-City-UT_The-Peery-Hotel-509bfc5e66edc846610074ec-Reviews,,,ortiz,0.15,n/a
,,,,,Beach Getaways in Treasure Island,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Treasure-Island-FL_Bilmar-Beach-Resort-51237e14a0a99422e30003f6-Reviews,hipmunk.com/Independent-Hotels-in-Treasure-Island-FL_Thunderbird-Beach-Resort-509bfe6466edc846610202b2-Reviews,hipmunk.com/Independent-Hotels-in-Treasure-Island-FL_Treasure-Bay-Hotel-Marina-509bfc1f66edc8466100420a-Reviews,hipmunk.com/Independent-Hotels-in-Treasure-Island-FL_Crystal-Palms-Beach-Resort-509bfdd166edc846610195fc-Reviews,hipmunk.com/Independent-Hotels-in-Treasure-Island-FL_Oasis-Palms-Resort-509bfcbf66edc8466100bfa7-Reviews,,,ortiz,0.15,n/a
,,,,,Where to Stay in New York City,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-New-York-City-NY_The-Marcel-at-Gramercy-5122d1a0a0a9945222000130-Reviews,hipmunk.com/Independent-Hotels-in-New-York-City-NY_Manhattan-NYC-an-Affinia-hotel-509bfdc466edc8466101908f-Reviews,hipmunk.com/Independent-Hotels-in-New-York-City-NY_Warwick-New-York-Hotel-509bfdc466edc8466101902c-Reviews,hipmunk.com/Independent-Hotels-in-New-York-City-NY_Wellington-Hotel-510b139ca0a99444dd000006-Reviews,hipmunk.com/Independent-Hotels-in-New-York-City-NY_Millennium-Broadway-Hotel-Times-Square-510b13a0a0a99444dd000042-Reviews,,,dublin,0.13,n/a
,,,,,Tucson's Top Boutique Stays,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Tucson-AZ_Arizona-Inn-509c00f866edc846610408d7-Reviews,hipmunk.com/Independent-Hotels-in-Tucson-AZ_Hotel-Tucson-City-Center-InnSuites-Conference-Suite-Resort-509c024a66edc846610518c0-Reviews,hipmunk.com/Independent-Hotels-in-Tucson-AZ_University-Inn-Tucson-509bfe6466edc846610202e2-Reviews,hipmunk.com/Independent-Hotels-in-Tucson-AZ_Viscount-Suite-Hotel-509bfec366edc8466102426c-Reviews,hipmunk.com/Independent-Hotels-in-Tucson-AZ_Adobe-Rose-Inn-Bed-and-Breakfast-509c000066edc84661033498-Reviews,,,dublin,0.13,n/a
,,,,,San Jose's Best Independent Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-San-Jose-CA_Hotel-Valencia-Santana-Row-509bfc9d66edc8466100a72e-Reviews,hipmunk.com/Independent-Hotels-in-San-Jose-CA_Vagabond-Inn-San-Jose-Airport-509bfe6466edc84661020280-Reviews,hipmunk.com/Independent-Hotels-in-San-Jose-CA_San-Jose-Airport-Inn-509bfe2366edc8466101d162-Reviews,hipmunk.com/Independent-Hotels-in-San-Jose-CA_Arena-Hotel-509bfe8266edc84661021521-Reviews,hipmunk.com/Independent-Hotels-in-San-Jose-CA_Dolce-Hayes-Mansion-509bfe5466edc8466101f659-Reviews,,,sammie,0.2,n/a
,,,,,Where to Stay in Napa,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Napa-CA_3-Palms-Napa-Valley-Hotel-Suites-509bfc8366edc84661009354-Reviews,hipmunk.com/Independent-Hotels-in-Napa-CA_Napa-Discovery-Inn-509bfce366edc8466100dd06-Reviews,hipmunk.com/Independent-Hotels-in-Napa-CA_Napa-River-Inn-509bff1966edc84661028322-Reviews,hipmunk.com/Independent-Hotels-in-Napa-CA_River-Terrace-Inn-A-Noble-House-Hotel-509bfefb66edc84661026bb5-Reviews,hipmunk.com/Independent-Hotels-in-Napa-CA_Silverado-Resort-and-Spa-509bfe8c66edc84661021d7e-Reviews,,,sammie,0.2,n/a
,,,,,Charleston's Best Boutique Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Charleston-SC_Barksdale-House-Inn-509bff7566edc8466102c2dd-Reviews,hipmunk.com/Independent-Hotels-in-Charleston-SC_Belmond-Charleston-Place-509c024a66edc846610517fa-Reviews,hipmunk.com/Independent-Hotels-in-Charleston-SC_Creekside-Lands-Inn-509bfcfa66edc8466100ef01-Reviews,hipmunk.com/Independent-Hotels-in-Charleston-SC_Fulton-Lane-Inn-509bfe3566edc8466101e069-Reviews,hipmunk.com/Independent-Hotels-in-Charleston-SC_HarbourView-Inn-509bfdd166edc84661019623-Reviews,,,bronner,0.1,n/a
,,,,,Where to Stay in Sanibel,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Sanibel-FL_Song-of-the-Sea-509c013066edc8466104371a-Reviews,hipmunk.com/Independent-Hotels-in-Sanibel-FL_West-Wind-Inn-509bfee066edc846610257c0-Reviews,hipmunk.com/Independent-Hotels-in-Sanibel-FL_Casa-Ybel-Resort-509bfc7b66edc84661008be3-Reviews,hipmunk.com/Independent-Hotels-in-Sanibel-FL_Sanibel-Inn-509bfdcf66edc846610194f0-Reviews,hipmunk.com/Independent-Hotels-in-Sanibel-FL_Sunset-Beach-Inn-509bff4066edc84661029b35-Reviews,,,bronner,0.1,n/a
,,,,,Daytona Beach's Best Boutique Stays,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_Mayan-Inn-Daytona-Beach-509c013066edc84661043703-Reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_Nautilus-Inn-509bfd1466edc846610103c4-Reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_Ocean-Shore-Resort-509c01e666edc8466104c7b2-Reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_The-Shores-Resort-Spa-509bfdc266edc84661018e67-Reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_Ocean-Walk-Vacation-Resort-509bfdce66edc84661019450-Reviews,,,diaz,0.2,n/a
,,,,,Vail's Top Boutique Getaways,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Vail-CO_Tivoli-Lodge-509bff3166edc846610295a9-Reviews,hipmunk.com/Independent-Hotels-in-Vail-CO_Vail-Cascade-Resort-Spa-Destination-Hotels-Resorts-509bfdc466edc846610190ab-Reviews,hipmunk.com/Independent-Hotels-in-Vail-CO_Lionshead-Inn-509bfefd66edc84661026df5-Reviews,hipmunk.com/Independent-Hotels-in-Vail-CO_Eagle-Point-Resort-509bff2a66edc846610291dd-Reviews,hipmunk.com/Independent-Hotels-in-Vail-CO_Evergreen-Lodge-509bff0466edc84661027390-Reviews,,,diaz,0.2,n/a
,,,,,Where to Stay in Sunny Palm Springs,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Palm-Springs-CA_Hard-Rock-Hotel-Palm-Springs-509bfef666edc84661026788-Reviews,hipmunk.com/Independent-Hotels-in-Palm-Springs-CA_Ingleside-Inn-509bfe4866edc8466101ee4e-Reviews,hipmunk.com/Independent-Hotels-in-Palm-Springs-CA_La-Maison-Hotel-5257f98b7f2c6c2dd90003aa-Reviews,hipmunk.com/Independent-Hotels-in-Palm-Springs-CA_Los-Arboles-Hotel-509bfd1b66edc846610109db-Reviews,hipmunk.com/Independent-Hotels-in-Palm-Springs-CA_Movie-Colony-Hotel-509bffe466edc84661031cfc-Reviews,,,roy,0.1,n/a
,,,,,Flagstaff's Top Boutique Stays,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Canyon-Inn-509bfbdb66edc84661000998-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Highland-Country-Inn-509bfc0466edc84661002cc1-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Wyndham-Flagstaff-5310aa0dc0852e2e420000a8-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Little-America-Flagstaff-509bfd3166edc84661011bb9-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Hotel-Aspen-InnSuites-FlagstaffGrand-Canyon-509c00f866edc846610408e5-Reviews,,,roy,0.1,n/a
